family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
halo,1.0,N,-4.1456184803140111e-01, 2.7726895068890510e-23, 9.0753120433295065e-01,-1.1555581216266303e-12, 1.4076145460136695e+00, 3.9979936124406781e-13,0.195162730858155,3.123314392276159,243.405726813375,0.195162730858155,0.0
halo,1.0,N,-2.4831701634289169e-01, 1.1157422071137136e-23, 9.6551001918449664e-01,-9.8352090869536455e-13, 1.2405320095506365e+00, 4.4237308248885996e-13,0.525911237525868,3.1205662366190534,292.178530221735,0.5261828184661511,0.00027158094028312263
halo,1.0,N,-8.1735681804141869e-02, 1.4024920654897595e-23, 9.9232789092080798e-01,-1.5985896966304937e-12, 1.0735665377981161e+00, 8.8485859113387120e-13,0.856888197476699,3.1153988033516904,316.26955491115,0.8572029060741473,0.0003147085974483099
halo,1.0,N, 8.5039386746733031e-02, 1.4389160271564789e-25, 9.9054324765463853e-01,-2.3119215009314597e-12, 9.0668495228132084e-01, 1.5629423027980730e-12,1.18831479336593,3.107218221924533,313.406765381962,1.1882229936821433,9.179968378658643e-05
halo,1.0,N, 2.5134014930627668e-01, 1.8107910808263419e-24, 9.6015082151939779e-01,-1.0204088396234940e-12, 7.4049513229191632e-01, 8.4120033778500177e-13,1.51925345117737,3.094406990395438,283.831535145428,1.5192430812901394,1.036988723068788e-05
halo,1.0,N, 4.1717637340912045e-01,-1.0786430708370357e-24, 8.9852163775144889e-01,-1.4414995640975025e-12, 5.7500042898686721e-01, 1.4897213646958564e-12,1.85022749157659,3.0731280272502373,230.272745800738,1.8502631688981355,3.5677321545524165e-05
halo,1.0,N, 5.8221723346987753e-01,-3.8738708578638816e-24, 7.9890868557163708e-01,-1.9640237672053790e-12, 4.1065549080058017e-01, 2.6345505167941977e-12,2.18158246567321,3.033194580823575,158.38211290158,2.181283256506132,0.00029920916707792955
halo,1.0,N, 7.4441727674674552e-01, 3.0115805611001765e-24, 6.4647195309459926e-01,-8.3154194545208993e-13, 2.4999694311346318e-01, 1.5627752183083839e-12,2.5121679096432,2.938877077964222,78.7704263444583,2.512303344114128,0.00013543447092789762
halo,1.0,N, 8.9580874077020534e-01, 5.4263962267366596e-24, 3.9858936171110515e-01, 3.7266572172776395e-12, 1.0490054462433601e-01,-1.2474868480566948e-11,2.84331620483132,2.5515677447109866,12.0959443179364,2.843323431722124,7.226890804012953e-06
halo,1.0,N, 8.2339081983651485e-01,-1.9017764504099543e-28, 9.8941366235910004e-04,-2.3545391932685812e-15, 1.2634272983881797e-01, 2.2367029429442455e-16,3.17434351933012,2.743000798124153,1180.40653338576,3.17434351933012,0.0
halo,1.0,S,-4.1456184803140111e-01, 2.7726895068890510e-23,-9.0753120433295065e-01,-1.1555581216266303e-12, 1.4076145460136695e+00,-3.9979936124406781e-13,0.195162730858155,3.123314392276159,243.405726806267,0.195162730858155,0.0
halo,1.0,S,-2.4831701634289169e-01, 1.1157422071137136e-23,-9.6551001918449664e-01,-9.8352090869536455e-13, 1.2405320095506365e+00,-4.4237308248885996e-13,0.525911237525868,3.1205662366190534,292.178530146249,0.5261828184661511,0.00027158094028312263
halo,1.0,S,-8.1735681804141869e-02, 1.4024920654897595e-23,-9.9232789092080798e-01,-1.5985896966304937e-12, 1.0735665377981161e+00,-8.8485859113387120e-13,0.856888197476699,3.1153988033516904,316.269554840837,0.8572029060741473,0.0003147085974483099
halo,1.0,S, 8.5039386746733031e-02, 1.4389160271564789e-25,-9.9054324765463853e-01,-2.3119215009314597e-12, 9.0668495228132084e-01,-1.5629423027980730e-12,1.18831479336593,3.107218221924533,313.406765408391,1.1882229936821433,9.179968378658643e-05
halo,1.0,S, 2.5134014930627668e-01, 1.8107910808263419e-24,-9.6015082151939779e-01,-1.0204088396234940e-12, 7.4049513229191632e-01,-8.4120033778500177e-13,1.51925345117737,3.094406990395438,283.831535114221,1.5192430812901394,1.036988723068788e-05
halo,1.0,S, 4.1717637340912045e-01,-1.0786430708370357e-24,-8.9852163775144889e-01,-1.4414995640975025e-12, 5.7500042898686721e-01,-1.4897213646958564e-12,1.85022749157659,3.0731280272502373,230.272745797848,1.8502631688981355,3.5677321545524165e-05
