family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
vertical,3.0,, 1.1781506123023127e+00, 1.0194769557171953e-25, 3.0946434575818366e-06, 5.8288083968532314e-14,-2.1233591297039469e+00, 1.0247000088838623e-18,-1.33308566060321,6.971633013569876,1.00000000001101,-1.33308566060321,0.0
vertical,2.0,, 1.0618382426516475e+00,-1.9559942611054540e-24,-5.2116585974992168e-14,-8.0441771899008568e-14,-1.8900947057366368e+00, 6.2979970364961668e-01,-0.673571679696361,6.29383788859954,13.6610898378058,-0.6735355728601733,3.610683618771038e-05
vertical,4.0,, 7.7775060881264924e-01, 4.2544999999999999e-01, 4.5681300313061679e-01, 3.7048530990847894e-01,-1.4591102013096180e+00, 7.2996213565469703e-01,-0.0139370391001074,6.309130639120556,1.00360559594003,-0.013985485117136598,4.8446017029198096e-05
axial,3.0,,-1.6057588085005434e+00, 5.5238660378893313e-24, 5.0129578190686954e-12, 9.0187286036410013e-12, 1.7181758561038858e+00, 4.7937901715103687e-01,0.645662929176736,6.2650772255871185,1.15654578377741,0.6455646026259001,9.832655083585884e-05
vertical,5.0,, 7.2888354513374110e-01,-4.2544999999999999e-01, 5.2690177625422974e-01, 1.0772302262587446e-01,-8.3725232902998836e-01,-8.3434359146762882e-01,1.30514335150527,6.302241400466799,1.00433000252598,1.3051146903689368,2.866113633315237e-05
resonant,,13, 3.8537398723875422e+00,-1.5886490242396829e-21,-2.9038899357103976e-22,-7.3485087539835256e-14,-3.6614457382301646e+00, 2.7498486213342205e-24,1.96466474428276,18.776049665685257,2.8293870732842,1.9646647781119735,3.382921343053624e-08
halo,1.0,N, 7.9800703501534043e-01,-7.8211767408382294e-24, 5.7699015948757093e-01,-3.4851360947923471e-13, 1.9744571492039514e-01, 7.6105787237477428e-13,2.62421918062256,2.8720251800189955,53.0741438390824,2.62421486585501,4.314767549917775e-06
resonant,,31, 2.2716584085542793e-01, 5.5357828648593103e-20,-2.1593532601223083e-24, 6.6601875531055427e-13, 2.2484143972483306e+00, 4.4975286745430142e-23,3.28377573028159,6.535141915119879,2.31406900256455,3.2837649535980464,1.0776683543767263e-05
dpo,,, 1.0004138924505761e+00, 4.5417695110920316e-29, 9.5332591851687517e-33, 4.7660265708848198e-13, 9.7106646864234614e-01, 2.2994520200389878e-30,3.94315814788576,0.08136096207681093,1.0,3.9433150413410836,0.00015689345532354793
dro,,, 9.8057441981321924e-01, 1.6337321832930984e-24,-9.2677089939689602e-23, 7.4476661897303158e-11, 1.2996953834724079e+00,-2.0539686572397978e-19,4.60286512908412,0.03517544463121332,1.0,4.60286512908412,0.0
