family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
vertical,2.0,, 1.0607397859062240e+00,-1.7393887466496868e-26, 4.2332120808772832e-14, 1.6187048429903335e-11,-2.1039551912255732e+00, 2.5703533365413955e-03,-1.12659856102396,6.297575547612384,1.00012771197327,-1.12659856102396,0.0
vertical,2.0,, 1.0623608387746786e+00, 1.2737324409001988e-24,-2.5797155009836852e-14,-2.2713820610124975e-14,-1.8035048628067736e+00, 7.2857770611305861e-01,-0.490009465128592,6.292005985790415,20.888797233892,-0.4899914843452844,1.798078330761399e-05
vertical,1.0,, 9.1497773314828690e-01, 2.6205880209690316e-29,-1.2066004596970170e-13, 5.4921755609026898e-14,-1.5019899128405829e+00,-9.4814143546010832e-01,0.146704783328164,6.289286647865538,44.7769374508895,0.14661559233339116,8.919099477283643e-05
halo,1.0,N,-1.1893228414578540e-01,-5.3429615814480530e-24, 9.8886571231715670e-01,-1.6045346194123603e-12, 1.1108210241762382e+00, 8.3740495091115891e-13,0.782991736163895,3.116778679503275,313.187226109174,0.7832226690120667,0.00023093284817177206
vertical,2.0,, 1.0726986466918371e+00,-1.9296850945344102e-24, 1.1136610244976139e-14,-1.0652051902651397e-14,-9.0889526073536975e-01, 1.0061399013257755e+00,1.41985207163743,6.241980356833984,162.832256561539,1.4198297456907423,2.2325946687828946e-05
dro,,, 1.4149077700896223e-01, 3.7454509086386810e-27, 5.8998625705059005e-32,-1.2230812520632275e-12, 3.2941518733783117e+00, 7.9945652918067971e-32,2.05645545920089,6.2857196073525765,1.00021423872727,2.0564368223694176,1.8636831472296223e-05
halo,1.0,N, 8.3018445814265507e-01,-6.8087076712883536e-24, 5.2793295977944910e-01,-5.5163796302630204e-13, 1.6622165678200534e-01, 1.3657573352327437e-12,2.69310037191484,2.8102624422857607,38.4430042636249,2.693043899048093,5.647286674692609e-05
dro,,, 9.5866585537355409e-01, 3.9240911402565995e-28, 6.8858558076399132e-34,-1.0241252307991428e-13, 6.7598109059751621e-01,-2.5226091136231028e-32,3.32988052628251,0.27309988061870816,1.00000000000785,3.3296509757267687,0.00022955055574147565
dro,,, 9.7615509618075791e-01, 3.2679982301018641e-28,-2.2202890112596973e-32, 1.5346293406776409e-12, 1.0312063757336878e+00,-9.5953440948017816e-32,3.96660117155139,0.0712951666648067,1.0000000000114,3.9662580524054443,0.0003431191459455363
dro,,, 9.8057441981321924e-01, 1.6337321832930984e-24,-9.2677089939689602e-23, 7.4476661897303158e-11, 1.2996953834724079e+00,-2.0539686572397978e-19,4.60286512908412,0.03517544463121332,1.0,4.60286512908412,0.0
