family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability
halo,1,N,-4.1456184803140111e-01, 2.7726895068890510e-23, 9.0753120433295065e-01,-1.1555581216266303e-12, 1.4076145460136695e+00, 3.9979936124406781e-13,0.195162730858155, 3.1233143922761588e+00,243.405726813375
halo,1,N,-1.9004922179960748e-01, 1.2349588791128802e-23, 9.7824324903622506e-01,-9.8086697907742983e-13, 1.1820907374926974e+00, 4.7222351318762770e-13,0.641701139790347, 3.1190454454147529e+00,303.584654353414
halo,1,N, 4.2269759862804138e-02, 5.7415582658634569e-24, 9.9369283250719276e-01,-2.1852217028282719e-12, 9.4946006850337505e-01, 1.3992986338636614e-12,1.103292501272, 3.1096706177065583e+00,316.745409180843
halo,1,N, 2.7314697994390752e-01, 8.3381538593725230e-25, 9.5393317117693344e-01,-9.0137111306875136e-13, 7.1871881298159190e-01, 7.6088248406245639e-13,1.56270631586515, 3.0922203399961141e+00,278.078064413526
halo,1,N, 4.9321850048475940e-01, 3.7157141259724048e-24, 8.5806761169591683e-01,-1.6842366273603782e-12, 4.9921941842178641e-01, 1.9505321215276511e-12,2.00255203113464, 3.0581933104468861e+00,199.006293540016
halo,1,N, 6.9230482088948109e-01,-6.5440098750730139e-24, 7.0332178051864047e-01, 8.0421080358354081e-13, 3.0144370306965662e-01,-1.3693122348455980e-12,2.40500266942137, 2.9806299951248887e+00,104.513490858115
halo,1,N, 8.5500695976758712e-01, 1.0072394269509813e-23, 4.8485597998417074e-01, 1.9306886824459190e-12, 1.4246142902807826e-01,-5.2390196065335658e-12,2.74770010853256, 2.7424535067379612e+00,27.8014931932792
halo,1,N, 8.6949464819761468e-01,-3.0933766765662798e-26, 1.8910847772367870e-01,-3.8479878115843543e-14, 2.4107994098582772e-01, 9.9273280693044426e-14,2.99791617096492, 2.2633765358524309e+00,1.36406684681958
halo,1,N, 8.3865164296073547e-01,-2.8211471770767488e-27, 1.5362361375975556e-01,-9.4542961410766118e-16, 2.5947534164378111e-01,-1.0507537967500343e-15,3.03469280834068, 2.7246380023857650e+00,43.6686044979424
halo,1,N, 8.2339081983651485e-01,-1.9017764504099543e-28, 9.8941366235910004e-04,-2.3545391932685812e-15, 1.2634272983881797e-01, 2.2367029429442455e-16,3.17434351933012, 2.7430007981241529e+00,1180.40653338576
halo,2,S, 1.0829551779304256e+00,-6.9232801936027592e-27,-2.0231744561698364e-01, 9.7888791827480806e-15,-2.0102644884016102e-01, 2.4744866465838822e-14,3.01517767456737, 2.3834910105144469e+00,1.01524697223246
