delta_v_magnitude,maneuver_proportion,mc_iteration,times_found
0.001,0.0,0,0.195
0.001,0.0,1,0.195
0.001,0.0,2,0.17
0.001,0.0,3,0.155
0.001,0.0,4,0.17500000000000002
0.001,0.02631578947368421,0,0.16
0.001,0.02631578947368421,1,0.19
0.001,0.02631578947368421,2,0.17
0.001,0.02631578947368421,3,0.195
0.001,0.02631578947368421,4,0.16
0.001,0.05263157894736842,0,0.2
0.001,0.05263157894736842,1,0.185
0.001,0.05263157894736842,2,0.17
0.001,0.05263157894736842,3,0.17
0.001,0.05263157894736842,4,0.17
0.001,0.07894736842105263,0,0.155
0.001,0.07894736842105263,1,0.155
0.001,0.07894736842105263,2,0.21
0.001,0.07894736842105263,3,0.195
0.001,0.07894736842105263,4,0.23
0.001,0.10526315789473684,0,0.19
0.001,0.10526315789473684,1,0.18
0.001,0.10526315789473684,2,0.155
0.001,0.10526315789473684,3,0.145
0.001,0.10526315789473684,4,0.225
0.001,0.13157894736842105,0,0.15
0.001,0.13157894736842105,1,0.15
0.001,0.13157894736842105,2,0.185
0.001,0.13157894736842105,3,0.155
0.001,0.13157894736842105,4,0.19
0.001,0.15789473684210525,0,0.18
0.001,0.15789473684210525,1,0.17
0.001,0.15789473684210525,2,0.195
0.001,0.15789473684210525,3,0.18
0.001,0.15789473684210525,4,0.18
0.001,0.18421052631578946,0,0.15
0.001,0.18421052631578946,1,0.185
0.001,0.18421052631578946,2,0.185
0.001,0.18421052631578946,3,0.19
0.001,0.18421052631578946,4,0.18
0.001,0.21052631578947367,0,0.21
0.001,0.21052631578947367,1,0.185
0.001,0.21052631578947367,2,0.17500000000000002
0.001,0.21052631578947367,3,0.17
0.001,0.21052631578947367,4,0.155
0.001,0.23684210526315788,0,0.20500000000000002
0.001,0.23684210526315788,1,0.215
0.001,0.23684210526315788,2,0.165
0.001,0.23684210526315788,3,0.185
0.001,0.23684210526315788,4,0.165
0.001,0.2631578947368421,0,0.18
0.001,0.2631578947368421,1,0.16
0.001,0.2631578947368421,2,0.165
0.001,0.2631578947368421,3,0.16
0.001,0.2631578947368421,4,0.21
0.001,0.2894736842105263,0,0.165
0.001,0.2894736842105263,1,0.2
0.001,0.2894736842105263,2,0.2
0.001,0.2894736842105263,3,0.19
0.001,0.2894736842105263,4,0.16
0.001,0.3157894736842105,0,0.18
0.001,0.3157894736842105,1,0.195
0.001,0.3157894736842105,2,0.18
0.001,0.3157894736842105,3,0.19
0.001,0.3157894736842105,4,0.155
0.001,0.3421052631578947,0,0.2
0.001,0.3421052631578947,1,0.19
0.001,0.3421052631578947,2,0.2
0.001,0.3421052631578947,3,0.17
0.001,0.3421052631578947,4,0.21
0.001,0.3684210526315789,0,0.16
0.001,0.3684210526315789,1,0.185
0.001,0.3684210526315789,2,0.17
0.001,0.3684210526315789,3,0.2
0.001,0.3684210526315789,4,0.195
0.001,0.39473684210526316,0,0.16
0.001,0.39473684210526316,1,0.15
0.001,0.39473684210526316,2,0.22
0.001,0.39473684210526316,3,0.195
0.001,0.39473684210526316,4,0.21
0.001,0.42105263157894735,0,0.18
0.001,0.42105263157894735,1,0.17500000000000002
0.001,0.42105263157894735,2,0.17500000000000002
0.001,0.42105263157894735,3,0.17500000000000002
0.001,0.42105263157894735,4,0.17500000000000002
0.001,0.4473684210526315,0,0.18
0.001,0.4473684210526315,1,0.17
0.001,0.4473684210526315,2,0.17500000000000002
0.001,0.4473684210526315,3,0.16
0.001,0.4473684210526315,4,0.16
0.001,0.47368421052631576,0,0.165
0.001,0.47368421052631576,1,0.185
0.001,0.47368421052631576,2,0.19
0.001,0.47368421052631576,3,0.19
0.001,0.47368421052631576,4,0.16
0.001,0.5,0,0.17
0.001,0.5,1,0.195
0.001,0.5,2,0.225
0.001,0.5,3,0.2
0.001,0.5,4,0.165
0.0014384498882876629,0.0,0,0.20500000000000002
0.0014384498882876629,0.0,1,0.16
0.0014384498882876629,0.0,2,0.20500000000000002
0.0014384498882876629,0.0,3,0.17
0.0014384498882876629,0.0,4,0.2
0.0014384498882876629,0.02631578947368421,0,0.195
0.0014384498882876629,0.02631578947368421,1,0.195
0.0014384498882876629,0.02631578947368421,2,0.165
0.0014384498882876629,0.02631578947368421,3,0.18
0.0014384498882876629,0.02631578947368421,4,0.15
0.0014384498882876629,0.05263157894736842,0,0.185
0.0014384498882876629,0.05263157894736842,1,0.17500000000000002
0.0014384498882876629,0.05263157894736842,2,0.185
0.0014384498882876629,0.05263157894736842,3,0.21
0.0014384498882876629,0.05263157894736842,4,0.17500000000000002
0.0014384498882876629,0.07894736842105263,0,0.17500000000000002
0.0014384498882876629,0.07894736842105263,1,0.145
0.0014384498882876629,0.07894736842105263,2,0.17500000000000002
0.0014384498882876629,0.07894736842105263,3,0.17500000000000002
0.0014384498882876629,0.07894736842105263,4,0.145
0.0014384498882876629,0.10526315789473684,0,0.16
0.0014384498882876629,0.10526315789473684,1,0.2
0.0014384498882876629,0.10526315789473684,2,0.16
0.0014384498882876629,0.10526315789473684,3,0.155
0.0014384498882876629,0.10526315789473684,4,0.22
0.0014384498882876629,0.13157894736842105,0,0.155
0.0014384498882876629,0.13157894736842105,1,0.165
0.0014384498882876629,0.13157894736842105,2,0.165
0.0014384498882876629,0.13157894736842105,3,0.165
0.0014384498882876629,0.13157894736842105,4,0.18
0.0014384498882876629,0.15789473684210525,0,0.17500000000000002
0.0014384498882876629,0.15789473684210525,1,0.185
0.0014384498882876629,0.15789473684210525,2,0.23
0.0014384498882876629,0.15789473684210525,3,0.155
0.0014384498882876629,0.15789473684210525,4,0.20500000000000002
0.0014384498882876629,0.18421052631578946,0,0.17500000000000002
0.0014384498882876629,0.18421052631578946,1,0.17
0.0014384498882876629,0.18421052631578946,2,0.155
0.0014384498882876629,0.18421052631578946,3,0.17
0.0014384498882876629,0.18421052631578946,4,0.16
0.0014384498882876629,0.21052631578947367,0,0.215
0.0014384498882876629,0.21052631578947367,1,0.18
0.0014384498882876629,0.21052631578947367,2,0.195
0.0014384498882876629,0.21052631578947367,3,0.15
0.0014384498882876629,0.21052631578947367,4,0.165
0.0014384498882876629,0.23684210526315788,0,0.16
0.0014384498882876629,0.23684210526315788,1,0.18
0.0014384498882876629,0.23684210526315788,2,0.15
0.0014384498882876629,0.23684210526315788,3,0.17500000000000002
0.0014384498882876629,0.23684210526315788,4,0.18
0.0014384498882876629,0.2631578947368421,0,0.17
0.0014384498882876629,0.2631578947368421,1,0.16
0.0014384498882876629,0.2631578947368421,2,0.16
0.0014384498882876629,0.2631578947368421,3,0.17
0.0014384498882876629,0.2631578947368421,4,0.21
0.0014384498882876629,0.2894736842105263,0,0.16
0.0014384498882876629,0.2894736842105263,1,0.155
0.0014384498882876629,0.2894736842105263,2,0.185
0.0014384498882876629,0.2894736842105263,3,0.2
0.0014384498882876629,0.2894736842105263,4,0.155
0.0014384498882876629,0.3157894736842105,0,0.165
0.0014384498882876629,0.3157894736842105,1,0.2
0.0014384498882876629,0.3157894736842105,2,0.17
0.0014384498882876629,0.3157894736842105,3,0.18
0.0014384498882876629,0.3157894736842105,4,0.16
0.0014384498882876629,0.3421052631578947,0,0.155
0.0014384498882876629,0.3421052631578947,1,0.165
0.0014384498882876629,0.3421052631578947,2,0.165
0.0014384498882876629,0.3421052631578947,3,0.195
0.0014384498882876629,0.3421052631578947,4,0.165
0.0014384498882876629,0.3684210526315789,0,0.155
0.0014384498882876629,0.3684210526315789,1,0.17
0.0014384498882876629,0.3684210526315789,2,0.18
0.0014384498882876629,0.3684210526315789,3,0.155
0.0014384498882876629,0.3684210526315789,4,0.16
0.0014384498882876629,0.39473684210526316,0,0.165
0.0014384498882876629,0.39473684210526316,1,0.17
0.0014384498882876629,0.39473684210526316,2,0.17500000000000002
0.0014384498882876629,0.39473684210526316,3,0.18
0.0014384498882876629,0.39473684210526316,4,0.21
0.0014384498882876629,0.42105263157894735,0,0.19
0.0014384498882876629,0.42105263157894735,1,0.18
0.0014384498882876629,0.42105263157894735,2,0.21
0.0014384498882876629,0.42105263157894735,3,0.17
0.0014384498882876629,0.42105263157894735,4,0.17
0.0014384498882876629,0.4473684210526315,0,0.195
0.0014384498882876629,0.4473684210526315,1,0.2
0.0014384498882876629,0.4473684210526315,2,0.245
0.0014384498882876629,0.4473684210526315,3,0.185
0.0014384498882876629,0.4473684210526315,4,0.18
0.0014384498882876629,0.47368421052631576,0,0.17
0.0014384498882876629,0.47368421052631576,1,0.16
0.0014384498882876629,0.47368421052631576,2,0.17
0.0014384498882876629,0.47368421052631576,3,0.17
0.0014384498882876629,0.47368421052631576,4,0.16
0.0014384498882876629,0.5,0,0.22
0.0014384498882876629,0.5,1,0.18
0.0014384498882876629,0.5,2,0.165
0.0014384498882876629,0.5,3,0.165
0.0014384498882876629,0.5,4,0.18
0.00206913808111479,0.0,0,0.17500000000000002
0.00206913808111479,0.0,1,0.15
0.00206913808111479,0.0,2,0.2
0.00206913808111479,0.0,3,0.165
0.00206913808111479,0.0,4,0.19
0.00206913808111479,0.02631578947368421,0,0.185
0.00206913808111479,0.02631578947368421,1,0.18
0.00206913808111479,0.02631578947368421,2,0.195
0.00206913808111479,0.02631578947368421,3,0.195
0.00206913808111479,0.02631578947368421,4,0.18
0.00206913808111479,0.05263157894736842,0,0.155
0.00206913808111479,0.05263157894736842,1,0.17500000000000002
0.00206913808111479,0.05263157894736842,2,0.16
0.00206913808111479,0.05263157894736842,3,0.185
0.00206913808111479,0.05263157894736842,4,0.195
0.00206913808111479,0.07894736842105263,0,0.20500000000000002
0.00206913808111479,0.07894736842105263,1,0.19
0.00206913808111479,0.07894736842105263,2,0.155
0.00206913808111479,0.07894736842105263,3,0.16
0.00206913808111479,0.07894736842105263,4,0.185
0.00206913808111479,0.10526315789473684,0,0.17
0.00206913808111479,0.10526315789473684,1,0.165
0.00206913808111479,0.10526315789473684,2,0.19
0.00206913808111479,0.10526315789473684,3,0.215
0.00206913808111479,0.10526315789473684,4,0.18
0.00206913808111479,0.13157894736842105,0,0.17500000000000002
0.00206913808111479,0.13157894736842105,1,0.185
0.00206913808111479,0.13157894736842105,2,0.16
0.00206913808111479,0.13157894736842105,3,0.23
0.00206913808111479,0.13157894736842105,4,0.2
0.00206913808111479,0.15789473684210525,0,0.165
0.00206913808111479,0.15789473684210525,1,0.185
0.00206913808111479,0.15789473684210525,2,0.21
0.00206913808111479,0.15789473684210525,3,0.16
0.00206913808111479,0.15789473684210525,4,0.16
0.00206913808111479,0.18421052631578946,0,0.15
0.00206913808111479,0.18421052631578946,1,0.20500000000000002
0.00206913808111479,0.18421052631578946,2,0.195
0.00206913808111479,0.18421052631578946,3,0.16
0.00206913808111479,0.18421052631578946,4,0.19
0.00206913808111479,0.21052631578947367,0,0.165
0.00206913808111479,0.21052631578947367,1,0.17500000000000002
0.00206913808111479,0.21052631578947367,2,0.145
0.00206913808111479,0.21052631578947367,3,0.2
0.00206913808111479,0.21052631578947367,4,0.15
0.00206913808111479,0.23684210526315788,0,0.2
0.00206913808111479,0.23684210526315788,1,0.16
0.00206913808111479,0.23684210526315788,2,0.17
0.00206913808111479,0.23684210526315788,3,0.2
0.00206913808111479,0.23684210526315788,4,0.18
0.00206913808111479,0.2631578947368421,0,0.2
0.00206913808111479,0.2631578947368421,1,0.16
0.00206913808111479,0.2631578947368421,2,0.18
0.00206913808111479,0.2631578947368421,3,0.20500000000000002
0.00206913808111479,0.2631578947368421,4,0.19
0.00206913808111479,0.2894736842105263,0,0.145
0.00206913808111479,0.2894736842105263,1,0.25
0.00206913808111479,0.2894736842105263,2,0.18
0.00206913808111479,0.2894736842105263,3,0.15
0.00206913808111479,0.2894736842105263,4,0.155
0.00206913808111479,0.3157894736842105,0,0.2
0.00206913808111479,0.3157894736842105,1,0.16
0.00206913808111479,0.3157894736842105,2,0.17500000000000002
0.00206913808111479,0.3157894736842105,3,0.18
0.00206913808111479,0.3157894736842105,4,0.215
0.00206913808111479,0.3421052631578947,0,0.19
0.00206913808111479,0.3421052631578947,1,0.225
0.00206913808111479,0.3421052631578947,2,0.20500000000000002
0.00206913808111479,0.3421052631578947,3,0.20500000000000002
0.00206913808111479,0.3421052631578947,4,0.19
0.00206913808111479,0.3684210526315789,0,0.19
0.00206913808111479,0.3684210526315789,1,0.17
0.00206913808111479,0.3684210526315789,2,0.22
0.00206913808111479,0.3684210526315789,3,0.2
0.00206913808111479,0.3684210526315789,4,0.2
0.00206913808111479,0.39473684210526316,0,0.155
0.00206913808111479,0.39473684210526316,1,0.165
0.00206913808111479,0.39473684210526316,2,0.17500000000000002
0.00206913808111479,0.39473684210526316,3,0.16
0.00206913808111479,0.39473684210526316,4,0.135
0.00206913808111479,0.42105263157894735,0,0.16
0.00206913808111479,0.42105263157894735,1,0.16
0.00206913808111479,0.42105263157894735,2,0.2
0.00206913808111479,0.42105263157894735,3,0.17
0.00206913808111479,0.42105263157894735,4,0.155
0.00206913808111479,0.4473684210526315,0,0.19
0.00206913808111479,0.4473684210526315,1,0.16
0.00206913808111479,0.4473684210526315,2,0.18
0.00206913808111479,0.4473684210526315,3,0.195
0.00206913808111479,0.4473684210526315,4,0.22
0.00206913808111479,0.47368421052631576,0,0.195
0.00206913808111479,0.47368421052631576,1,0.165
0.00206913808111479,0.47368421052631576,2,0.21
0.00206913808111479,0.47368421052631576,3,0.18
0.00206913808111479,0.47368421052631576,4,0.195
0.00206913808111479,0.5,0,0.165
0.00206913808111479,0.5,1,0.195
0.00206913808111479,0.5,2,0.215
0.00206913808111479,0.5,3,0.19
0.00206913808111479,0.5,4,0.2
0.002976351441631319,0.0,0,0.165
0.002976351441631319,0.0,1,0.165
0.002976351441631319,0.0,2,0.17
0.002976351441631319,0.0,3,0.15
0.002976351441631319,0.0,4,0.2
0.002976351441631319,0.02631578947368421,0,0.19
0.002976351441631319,0.02631578947368421,1,0.20500000000000002
0.002976351441631319,0.02631578947368421,2,0.17500000000000002
0.002976351441631319,0.02631578947368421,3,0.195
0.002976351441631319,0.02631578947368421,4,0.155
0.002976351441631319,0.05263157894736842,0,0.155
0.002976351441631319,0.05263157894736842,1,0.17
0.002976351441631319,0.05263157894736842,2,0.145
0.002976351441631319,0.05263157894736842,3,0.18
0.002976351441631319,0.05263157894736842,4,0.15
0.002976351441631319,0.07894736842105263,0,0.17500000000000002
0.002976351441631319,0.07894736842105263,1,0.16
0.002976351441631319,0.07894736842105263,2,0.16
0.002976351441631319,0.07894736842105263,3,0.18
0.002976351441631319,0.07894736842105263,4,0.16
0.002976351441631319,0.10526315789473684,0,0.165
0.002976351441631319,0.10526315789473684,1,0.16
0.002976351441631319,0.10526315789473684,2,0.185
0.002976351441631319,0.10526315789473684,3,0.17
0.002976351441631319,0.10526315789473684,4,0.19
0.002976351441631319,0.13157894736842105,0,0.17
0.002976351441631319,0.13157894736842105,1,0.15
0.002976351441631319,0.13157894736842105,2,0.15
0.002976351441631319,0.13157894736842105,3,0.17
0.002976351441631319,0.13157894736842105,4,0.155
0.002976351441631319,0.15789473684210525,0,0.165
0.002976351441631319,0.15789473684210525,1,0.155
0.002976351441631319,0.15789473684210525,2,0.22
0.002976351441631319,0.15789473684210525,3,0.17500000000000002
0.002976351441631319,0.15789473684210525,4,0.16
0.002976351441631319,0.18421052631578946,0,0.2
0.002976351441631319,0.18421052631578946,1,0.20500000000000002
0.002976351441631319,0.18421052631578946,2,0.2
0.002976351441631319,0.18421052631578946,3,0.18
0.002976351441631319,0.18421052631578946,4,0.145
0.002976351441631319,0.21052631578947367,0,0.185
0.002976351441631319,0.21052631578947367,1,0.185
0.002976351441631319,0.21052631578947367,2,0.165
0.002976351441631319,0.21052631578947367,3,0.21
0.002976351441631319,0.21052631578947367,4,0.2
0.002976351441631319,0.23684210526315788,0,0.2
0.002976351441631319,0.23684210526315788,1,0.17
0.002976351441631319,0.23684210526315788,2,0.17500000000000002
0.002976351441631319,0.23684210526315788,3,0.17500000000000002
0.002976351441631319,0.23684210526315788,4,0.18
0.002976351441631319,0.2631578947368421,0,0.195
0.002976351441631319,0.2631578947368421,1,0.165
0.002976351441631319,0.2631578947368421,2,0.17500000000000002
0.002976351441631319,0.2631578947368421,3,0.165
0.002976351441631319,0.2631578947368421,4,0.20500000000000002
0.002976351441631319,0.2894736842105263,0,0.185
0.002976351441631319,0.2894736842105263,1,0.145
0.002976351441631319,0.2894736842105263,2,0.17500000000000002
0.002976351441631319,0.2894736842105263,3,0.19
0.002976351441631319,0.2894736842105263,4,0.165
0.002976351441631319,0.3157894736842105,0,0.17
0.002976351441631319,0.3157894736842105,1,0.17500000000000002
0.002976351441631319,0.3157894736842105,2,0.155
0.002976351441631319,0.3157894736842105,3,0.20500000000000002
0.002976351441631319,0.3157894736842105,4,0.195
0.002976351441631319,0.3421052631578947,0,0.23
0.002976351441631319,0.3421052631578947,1,0.215
0.002976351441631319,0.3421052631578947,2,0.19
0.002976351441631319,0.3421052631578947,3,0.215
0.002976351441631319,0.3421052631578947,4,0.22
0.002976351441631319,0.3684210526315789,0,0.17500000000000002
0.002976351441631319,0.3684210526315789,1,0.2
0.002976351441631319,0.3684210526315789,2,0.19
0.002976351441631319,0.3684210526315789,3,0.17500000000000002
0.002976351441631319,0.3684210526315789,4,0.17
0.002976351441631319,0.39473684210526316,0,0.21
0.002976351441631319,0.39473684210526316,1,0.15
0.002976351441631319,0.39473684210526316,2,0.20500000000000002
0.002976351441631319,0.39473684210526316,3,0.145
0.002976351441631319,0.39473684210526316,4,0.17500000000000002
0.002976351441631319,0.42105263157894735,0,0.2
0.002976351441631319,0.42105263157894735,1,0.155
0.002976351441631319,0.42105263157894735,2,0.17
0.002976351441631319,0.42105263157894735,3,0.165
0.002976351441631319,0.42105263157894735,4,0.18
0.002976351441631319,0.4473684210526315,0,0.20500000000000002
0.002976351441631319,0.4473684210526315,1,0.2
0.002976351441631319,0.4473684210526315,2,0.18
0.002976351441631319,0.4473684210526315,3,0.14
0.002976351441631319,0.4473684210526315,4,0.19
0.002976351441631319,0.47368421052631576,0,0.185
0.002976351441631319,0.47368421052631576,1,0.15
0.002976351441631319,0.47368421052631576,2,0.15
0.002976351441631319,0.47368421052631576,3,0.17
0.002976351441631319,0.47368421052631576,4,0.18
0.002976351441631319,0.5,0,0.15
0.002976351441631319,0.5,1,0.17
0.002976351441631319,0.5,2,0.215
0.002976351441631319,0.5,3,0.145
0.002976351441631319,0.5,4,0.17500000000000002
0.004281332398719396,0.0,0,0.165
0.004281332398719396,0.0,1,0.17
0.004281332398719396,0.0,2,0.22
0.004281332398719396,0.0,3,0.16
0.004281332398719396,0.0,4,0.155
0.004281332398719396,0.02631578947368421,0,0.2
0.004281332398719396,0.02631578947368421,1,0.17500000000000002
0.004281332398719396,0.02631578947368421,2,0.165
0.004281332398719396,0.02631578947368421,3,0.16
0.004281332398719396,0.02631578947368421,4,0.155
0.004281332398719396,0.05263157894736842,0,0.17
0.004281332398719396,0.05263157894736842,1,0.155
0.004281332398719396,0.05263157894736842,2,0.17
0.004281332398719396,0.05263157894736842,3,0.17500000000000002
0.004281332398719396,0.05263157894736842,4,0.20500000000000002
0.004281332398719396,0.07894736842105263,0,0.17
0.004281332398719396,0.07894736842105263,1,0.215
0.004281332398719396,0.07894736842105263,2,0.195
0.004281332398719396,0.07894736842105263,3,0.16
0.004281332398719396,0.07894736842105263,4,0.21
0.004281332398719396,0.10526315789473684,0,0.165
0.004281332398719396,0.10526315789473684,1,0.17
0.004281332398719396,0.10526315789473684,2,0.185
0.004281332398719396,0.10526315789473684,3,0.18
0.004281332398719396,0.10526315789473684,4,0.17500000000000002
0.004281332398719396,0.13157894736842105,0,0.15
0.004281332398719396,0.13157894736842105,1,0.21
0.004281332398719396,0.13157894736842105,2,0.155
0.004281332398719396,0.13157894736842105,3,0.19
0.004281332398719396,0.13157894736842105,4,0.215
0.004281332398719396,0.15789473684210525,0,0.145
0.004281332398719396,0.15789473684210525,1,0.155
0.004281332398719396,0.15789473684210525,2,0.215
0.004281332398719396,0.15789473684210525,3,0.20500000000000002
0.004281332398719396,0.15789473684210525,4,0.155
0.004281332398719396,0.18421052631578946,0,0.165
0.004281332398719396,0.18421052631578946,1,0.145
0.004281332398719396,0.18421052631578946,2,0.2
0.004281332398719396,0.18421052631578946,3,0.195
0.004281332398719396,0.18421052631578946,4,0.155
0.004281332398719396,0.21052631578947367,0,0.17500000000000002
0.004281332398719396,0.21052631578947367,1,0.15
0.004281332398719396,0.21052631578947367,2,0.17
0.004281332398719396,0.21052631578947367,3,0.165
0.004281332398719396,0.21052631578947367,4,0.18
0.004281332398719396,0.23684210526315788,0,0.2
0.004281332398719396,0.23684210526315788,1,0.17500000000000002
0.004281332398719396,0.23684210526315788,2,0.17500000000000002
0.004281332398719396,0.23684210526315788,3,0.155
0.004281332398719396,0.23684210526315788,4,0.17
0.004281332398719396,0.2631578947368421,0,0.15
0.004281332398719396,0.2631578947368421,1,0.18
0.004281332398719396,0.2631578947368421,2,0.2
0.004281332398719396,0.2631578947368421,3,0.18
0.004281332398719396,0.2631578947368421,4,0.155
0.004281332398719396,0.2894736842105263,0,0.195
0.004281332398719396,0.2894736842105263,1,0.165
0.004281332398719396,0.2894736842105263,2,0.17
0.004281332398719396,0.2894736842105263,3,0.17500000000000002
0.004281332398719396,0.2894736842105263,4,0.165
0.004281332398719396,0.3157894736842105,0,0.165
0.004281332398719396,0.3157894736842105,1,0.17
0.004281332398719396,0.3157894736842105,2,0.2
0.004281332398719396,0.3157894736842105,3,0.16
0.004281332398719396,0.3157894736842105,4,0.14
0.004281332398719396,0.3421052631578947,0,0.145
0.004281332398719396,0.3421052631578947,1,0.145
0.004281332398719396,0.3421052631578947,2,0.19
0.004281332398719396,0.3421052631578947,3,0.17500000000000002
0.004281332398719396,0.3421052631578947,4,0.165
0.004281332398719396,0.3684210526315789,0,0.17
0.004281332398719396,0.3684210526315789,1,0.165
0.004281332398719396,0.3684210526315789,2,0.16
0.004281332398719396,0.3684210526315789,3,0.18
0.004281332398719396,0.3684210526315789,4,0.185
0.004281332398719396,0.39473684210526316,0,0.165
0.004281332398719396,0.39473684210526316,1,0.19
0.004281332398719396,0.39473684210526316,2,0.195
0.004281332398719396,0.39473684210526316,3,0.15
0.004281332398719396,0.39473684210526316,4,0.19
0.004281332398719396,0.42105263157894735,0,0.21
0.004281332398719396,0.42105263157894735,1,0.17500000000000002
0.004281332398719396,0.42105263157894735,2,0.16
0.004281332398719396,0.42105263157894735,3,0.145
0.004281332398719396,0.42105263157894735,4,0.155
0.004281332398719396,0.4473684210526315,0,0.17500000000000002
0.004281332398719396,0.4473684210526315,1,0.19
0.004281332398719396,0.4473684210526315,2,0.195
0.004281332398719396,0.4473684210526315,3,0.16
0.004281332398719396,0.4473684210526315,4,0.185
0.004281332398719396,0.47368421052631576,0,0.185
0.004281332398719396,0.47368421052631576,1,0.18
0.004281332398719396,0.47368421052631576,2,0.18
0.004281332398719396,0.47368421052631576,3,0.18
0.004281332398719396,0.47368421052631576,4,0.17500000000000002
0.004281332398719396,0.5,0,0.20500000000000002
0.004281332398719396,0.5,1,0.17500000000000002
0.004281332398719396,0.5,2,0.18
0.004281332398719396,0.5,3,0.17
0.004281332398719396,0.5,4,0.16
0.00615848211066026,0.0,0,0.2
0.00615848211066026,0.0,1,0.19
0.00615848211066026,0.0,2,0.195
0.00615848211066026,0.0,3,0.17
0.00615848211066026,0.0,4,0.17
0.00615848211066026,0.02631578947368421,0,0.195
0.00615848211066026,0.02631578947368421,1,0.225
0.00615848211066026,0.02631578947368421,2,0.17
0.00615848211066026,0.02631578947368421,3,0.155
0.00615848211066026,0.02631578947368421,4,0.185
0.00615848211066026,0.05263157894736842,0,0.165
0.00615848211066026,0.05263157894736842,1,0.17
0.00615848211066026,0.05263157894736842,2,0.165
0.00615848211066026,0.05263157894736842,3,0.19
0.00615848211066026,0.05263157894736842,4,0.185
0.00615848211066026,0.07894736842105263,0,0.16
0.00615848211066026,0.07894736842105263,1,0.18
0.00615848211066026,0.07894736842105263,2,0.185
0.00615848211066026,0.07894736842105263,3,0.16
0.00615848211066026,0.07894736842105263,4,0.19
0.00615848211066026,0.10526315789473684,0,0.21
0.00615848211066026,0.10526315789473684,1,0.195
0.00615848211066026,0.10526315789473684,2,0.2
0.00615848211066026,0.10526315789473684,3,0.165
0.00615848211066026,0.10526315789473684,4,0.19
0.00615848211066026,0.13157894736842105,0,0.17500000000000002
0.00615848211066026,0.13157894736842105,1,0.185
0.00615848211066026,0.13157894736842105,2,0.21
0.00615848211066026,0.13157894736842105,3,0.17500000000000002
0.00615848211066026,0.13157894736842105,4,0.17
0.00615848211066026,0.15789473684210525,0,0.19
0.00615848211066026,0.15789473684210525,1,0.21
0.00615848211066026,0.15789473684210525,2,0.22
0.00615848211066026,0.15789473684210525,3,0.16
0.00615848211066026,0.15789473684210525,4,0.17
0.00615848211066026,0.18421052631578946,0,0.2
0.00615848211066026,0.18421052631578946,1,0.16
0.00615848211066026,0.18421052631578946,2,0.2
0.00615848211066026,0.18421052631578946,3,0.17500000000000002
0.00615848211066026,0.18421052631578946,4,0.19
0.00615848211066026,0.21052631578947367,0,0.15
0.00615848211066026,0.21052631578947367,1,0.15
0.00615848211066026,0.21052631578947367,2,0.19
0.00615848211066026,0.21052631578947367,3,0.17500000000000002
0.00615848211066026,0.21052631578947367,4,0.19
0.00615848211066026,0.23684210526315788,0,0.17500000000000002
0.00615848211066026,0.23684210526315788,1,0.16
0.00615848211066026,0.23684210526315788,2,0.19
0.00615848211066026,0.23684210526315788,3,0.165
0.00615848211066026,0.23684210526315788,4,0.145
0.00615848211066026,0.2631578947368421,0,0.155
0.00615848211066026,0.2631578947368421,1,0.19
0.00615848211066026,0.2631578947368421,2,0.18
0.00615848211066026,0.2631578947368421,3,0.17
0.00615848211066026,0.2631578947368421,4,0.165
0.00615848211066026,0.2894736842105263,0,0.19
0.00615848211066026,0.2894736842105263,1,0.155
0.00615848211066026,0.2894736842105263,2,0.20500000000000002
0.00615848211066026,0.2894736842105263,3,0.17
0.00615848211066026,0.2894736842105263,4,0.15
0.00615848211066026,0.3157894736842105,0,0.155
0.00615848211066026,0.3157894736842105,1,0.16
0.00615848211066026,0.3157894736842105,2,0.17500000000000002
