delta_v_magnitude,maneuver_proportion,mc_iteration,times_found
0.001,0.0,0,1.0
0.001,0.0,1,1.0
0.001,0.0,2,1.0
0.001,0.0,3,1.0
0.001,0.0,4,1.0
0.001,0.0,5,1.0
0.001,0.0,6,1.0
0.001,0.0,7,1.0
0.001,0.0,8,1.0
0.001,0.0,9,1.0
0.001,0.0,10,1.0
0.001,0.0,11,1.0
0.001,0.0,12,1.0
0.001,0.0,13,1.0
0.001,0.0,14,1.0
0.001,0.0,15,1.0
0.001,0.0,16,1.0
0.001,0.0,17,1.0
0.001,0.0,18,1.0
0.001,0.0,19,1.0
0.001,0.02631578947368421,0,1.0
0.001,0.02631578947368421,1,1.0
0.001,0.02631578947368421,2,1.0
0.001,0.02631578947368421,3,1.0
0.001,0.02631578947368421,4,1.0
0.001,0.02631578947368421,5,1.0
0.001,0.02631578947368421,6,1.0
0.001,0.02631578947368421,7,1.0
0.001,0.02631578947368421,8,1.0
0.001,0.02631578947368421,9,1.0
0.001,0.02631578947368421,10,1.0
0.001,0.02631578947368421,11,1.0
0.001,0.02631578947368421,12,1.0
0.001,0.02631578947368421,13,1.0
0.001,0.02631578947368421,14,1.0
0.001,0.02631578947368421,15,1.0
0.001,0.02631578947368421,16,1.0
0.001,0.02631578947368421,17,1.0
0.001,0.02631578947368421,18,1.0
0.001,0.02631578947368421,19,1.0
0.001,0.05263157894736842,0,1.0
0.001,0.05263157894736842,1,1.0
0.001,0.05263157894736842,2,1.0
0.001,0.05263157894736842,3,1.0
0.001,0.05263157894736842,4,1.0
0.001,0.05263157894736842,5,1.0
0.001,0.05263157894736842,6,1.0
0.001,0.05263157894736842,7,1.0
0.001,0.05263157894736842,8,1.0
0.001,0.05263157894736842,9,1.0
0.001,0.05263157894736842,10,1.0
0.001,0.05263157894736842,11,1.0
0.001,0.05263157894736842,12,1.0
0.001,0.05263157894736842,13,1.0
0.001,0.05263157894736842,14,1.0
0.001,0.05263157894736842,15,1.0
0.001,0.05263157894736842,16,1.0
0.001,0.05263157894736842,17,1.0
0.001,0.05263157894736842,18,1.0
0.001,0.05263157894736842,19,1.0
0.001,0.07894736842105263,0,1.0
0.001,0.07894736842105263,1,1.0
0.001,0.07894736842105263,2,1.0
0.001,0.07894736842105263,3,1.0
0.001,0.07894736842105263,4,1.0
0.001,0.07894736842105263,5,1.0
0.001,0.07894736842105263,6,1.0
0.001,0.07894736842105263,7,1.0
0.001,0.07894736842105263,8,1.0
0.001,0.07894736842105263,9,1.0
0.001,0.07894736842105263,10,1.0
0.001,0.07894736842105263,11,1.0
0.001,0.07894736842105263,12,1.0
0.001,0.07894736842105263,13,1.0
0.001,0.07894736842105263,14,1.0
0.001,0.07894736842105263,15,1.0
0.001,0.07894736842105263,16,1.0
0.001,0.07894736842105263,17,1.0
0.001,0.07894736842105263,18,1.0
0.001,0.07894736842105263,19,1.0
0.001,0.10526315789473684,0,1.0
0.001,0.10526315789473684,1,1.0
0.001,0.10526315789473684,2,1.0
0.001,0.10526315789473684,3,1.0
0.001,0.10526315789473684,4,1.0
0.001,0.10526315789473684,5,1.0
0.001,0.10526315789473684,6,1.0
0.001,0.10526315789473684,7,1.0
0.001,0.10526315789473684,8,1.0
0.001,0.10526315789473684,9,1.0
0.001,0.10526315789473684,10,1.0
0.001,0.10526315789473684,11,1.0
0.001,0.10526315789473684,12,1.0
0.001,0.10526315789473684,13,1.0
0.001,0.10526315789473684,14,1.0
0.001,0.10526315789473684,15,1.0
0.001,0.10526315789473684,16,1.0
0.001,0.10526315789473684,17,1.0
0.001,0.10526315789473684,18,1.0
0.001,0.10526315789473684,19,1.0
0.001,0.13157894736842105,0,1.0
0.001,0.13157894736842105,1,1.0
0.001,0.13157894736842105,2,1.0
0.001,0.13157894736842105,3,1.0
0.001,0.13157894736842105,4,1.0
0.001,0.13157894736842105,5,1.0
0.001,0.13157894736842105,6,1.0
0.001,0.13157894736842105,7,1.0
0.001,0.13157894736842105,8,1.0
0.001,0.13157894736842105,9,1.0
0.001,0.13157894736842105,10,1.0
0.001,0.13157894736842105,11,1.0
0.001,0.13157894736842105,12,1.0
0.001,0.13157894736842105,13,1.0
0.001,0.13157894736842105,14,1.0
0.001,0.13157894736842105,15,1.0
0.001,0.13157894736842105,16,1.0
0.001,0.13157894736842105,17,1.0
0.001,0.13157894736842105,18,1.0
0.001,0.13157894736842105,19,1.0
0.001,0.15789473684210525,0,1.0
0.001,0.15789473684210525,1,1.0
0.001,0.15789473684210525,2,1.0
0.001,0.15789473684210525,3,1.0
0.001,0.15789473684210525,4,1.0
0.001,0.15789473684210525,5,1.0
0.001,0.15789473684210525,6,1.0
0.001,0.15789473684210525,7,1.0
0.001,0.15789473684210525,8,1.0
0.001,0.15789473684210525,9,1.0
0.001,0.15789473684210525,10,1.0
0.001,0.15789473684210525,11,1.0
0.001,0.15789473684210525,12,1.0
0.001,0.15789473684210525,13,1.0
